Id,Qual tipo de pergunta da fase anterior te pareceu mais difícil?,As perguntas ajudaram você a pensar sobre como aprende?,"Quando você aprende algo novo e complicado, como costuma se sentir?","Quando precisa resolver atividades sozinho, você se sente:","Quando você erra uma resposta, o que pensa primeiro?",Como você prefere aprender?,Quanto tempo você consegue manter a atenção em uma atividade online?,Onde você costuma aprender melhor?,O que mais te ajuda quando você não entende algo?,Você aprende melhor com:,Você já usou algum robô ou IA para tirar dúvidas?,Como você gostaria que um sistema com chat automático te ajudasse?,Você acredita que pode aprender programação ou lógica se tiver apoio?,O que mais te motiva a continuar estudando?,O que faria um sistema de estudos ser ideal para você?
1,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
2,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Animado pelo desafio,( ) Preparado(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
3,( ) Sobre sentimentos ou escolhas pessoais,( ) Não ajudaram,( ) Animado pelo desafio,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
4,( ) Sobre interpretação de frases,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
5,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Não devia ter tentado""",( ) Fazendo sozinho até acertar,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
6,( ) Nenhuma foi difícil,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
7,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Acho que não consigo,( ) Quando vejo que estou melhorando,( ) Ter explicações simples
8,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
9,( ) Sobre sentimentos ou escolhas pessoais,( ) Não sei dizer,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Tenho dúvidas,( ) Quando entendo o conteúdo,( ) Ter explicações simples
10,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Na escola, com colegas",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
